0 0
0.000000  -0.000020
0.000213  -0.001794
0.001045  -0.003477
0.001208  -0.003724
0.002398  -0.005266
0.009313  -0.011499
0.023230  -0.020399
0.042320  -0.030269
0.065877  -0.040821
0.093426  -0.051923
0.124111  -0.063082
0.157653  -0.073730
0.193738  -0.083567
0.231914  -0.092442
0.271438  -0.099905
0.311968  -0.105281
0.353370  -0.108181
0.395329  -0.108011
0.438273  -0.104552
0.481920  -0.097347
0.527928  -0.086571
0.576211  -0.073979
0.626092  -0.060644
0.676744  -0.047441
0.727211  -0.035100
0.776432  -0.024204
0.823285  -0.015163
0.866630  -0.008204
0.905365  -0.003363
0.938474  -0.000487
0.965086   0.000743
0.984478   0.000775
