0 0
0.000204	0.001942
0.000658	0.003723
0.006026	0.012615
0.01659	0.02229
0.03191	0.032299
0.051823	0.042352
0.076035	0.052224
0.104263	0.061697
0.136174	0.07058
0.171409	0.078687
0.209576	0.085851
0.250247	0.091908
0.29297	0.096703
0.33726	0.10007
0.382612	0.10184
0.428461	0.10176
0.474243	0.099392
0.519832	0.093268
0.56783	0.084095
0.617331	0.074214
0.667064	0.064353
0.715952	0.054872
0.763042	0.045974
0.80747	0.037766
0.848455	0.03028
0.885293	0.023458
0.917488	0.017033
0.945073	0.011024
0.967844	0.00596
0.98519	0.002373
